,Category,Rank,Title,Artist
96,country,17,I Can Feel It,Kane Brown
97,country,18,Different 'Round Here,Riley Green Featuring Luke Combs
98,country,19,Man Made A Bar,Morgan Wallen Featuring Eric Church
99,country,20,23,Chayce Beckham
100,country,21,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton
101,country,22,Wondering Why,The Red Clay Strays
102,country,23,Mind On You,George Birge
103,country,24,Rich Men North Of Richmond,Oliver Anthony Music
104,country,25,Mamaw's House,Thomas Rhett Featuring Morgan Wallen
105,country,26,Coal,Dylan Gossett
106,country,27,Tourniquet,Zach Bryan
107,country,28,All I Need Is You,Chris Janson
108,country,29,Wildflowers And Wild Horses,Lainey Wilson
109,country,30,In Your Love,Tyler Childers
110,country,31,Spotless,Zach Bryan Featuring The Lumineers
111,country,32,We Ride,Bryan Martin
112,country,33,I'm Not Pretty,Megan Moroney
113,country,34,Sarah's Place,Zach Bryan Featuring Noah Kahan
114,country,35,Creek Will Rise,Conner Smith
115,country,36,Glory Days,Gabby Barrett
116,country,37,Tucson Too Late,Jordan Davis
117,country,38,Your Place,Ashley Cooke
118,country,39,Outskirts,Sam Hunt
119,country,40,Fearless (The Echo),Jackson Dean
120,rock,1,I Remember Everything,Zach Bryan Featuring Kacey Musgraves
121,rock,2,Stick Season,Noah Kahan
122,rock,3,What Was I Made For?,Billie Eilish
123,rock,4,Need A Favor,Jelly Roll
124,rock,5,My Love Mine All Mine,Mitski
125,rock,6,Get Him Back!,Olivia Rodrigo
126,rock,7,Dial Drunk,Noah Kahan With Post Malone
127,rock,8,Hey Driver,Zach Bryan Featuring The War And Treaty
128,rock,9,Daylight,David Kushner
129,rock,10,Wondering Why,The Red Clay Strays
130,rock,11,Northern Attitude,Noah Kahan With Hozier
131,rock,12,Bad Idea Right?,Olivia Rodrigo
132,rock,13,Tourniquet,Zach Bryan
133,rock,14,Lovers Rock,TV Girl
134,rock,15,Not Allowed,TV Girl
135,rock,16,"Everywhere, Everything",Noah Kahan With Gracie Abrams
136,rock,17,Spotless,Zach Bryan Featuring The Lumineers
137,rock,18,One More Time,blink-182
138,rock,19,Sarah's Place,Zach Bryan Featuring Noah Kahan
139,rock,20,She Calls Me Back,Noah Kahan With Kacey Musgraves
140,rock,21,Cigarettes Out The Window,TV Girl
141,rock,22,All-American Bitch,Olivia Rodrigo
142,rock,23,High,Stephen Sanchez
143,rock,24,East Side Of Sorrow,Zach Bryan
144,rock,25,Kool-Aid,Bring Me The Horizon
145,rock,26,El Dorado,Zach Bryan
146,rock,27,Yes I'm A Mess,AJR
147,rock,28,Confidence,Ocean Alley
148,rock,29,Nothing's New,Rio Romeo
149,rock,30,A Symptom Of Being Human,Shinedown
150,rock,31,Vampire Empire,Big Thief
151,rock,32,I Am Not Who I Was,Chance Pena
152,rock,33,Fear And Friday's,Zach Bryan
153,rock,34,Boys Of Faith,Zach Bryan Featuring Bon Iver
154,rock,35,The American Dream Is Killing Me,Green Day
155,rock,36,Love Is Embarrassing,Olivia Rodrigo
156,rock,37,The Death Of Peace Of Mind,Bad Omens
157,rock,38,Margaret,Lana Del Rey Featuring Bleachers
158,rock,39,If U Think I'm Pretty,Artemas
159,rock,40,Black Friday,Tom Odell
160,alternative,1,Lost,Linkin Park
161,alternative,2,Love From The Other Side,Fall Out Boy
162,alternative,3,"Sex, Drugs, Etc.",Beach Weather
163,alternative,4,Edging,blink-182
164,alternative,5,Rescue Me,Dirty Heads
165,alternative,6,Just Pretend,Bad Omens
166,alternative,7,Rescued,Foo Fighters
167,alternative,8,Records,Weezer
168,alternative,9,Emergency Contact,Pierce The Veil
169,alternative,10,Kid,The Revivalists
170,alternative,11,Sleepwalking,All Time Low
171,alternative,12,Call Me What You Like,Lovejoy
172,alternative,13,Sail Away,lovelytheband
173,alternative,14,Stuck,Thirty Seconds To Mars
174,alternative,15,Out Of My Mind,little image
175,alternative,16,The Loneliest,Maneskin
176,alternative,17,This Is Why,Paramore
177,alternative,18,Pages,White Reaper
178,alternative,19,In My Head,Mike Shinoda & Kailee Morgue
179,alternative,20,Dial Drunk,Noah Kahan With Post Malone
180,alternative,21,Dummy,Portugal. The Man
181,alternative,22,New Gold,Gorillaz Featuring Tame Impala & Bootie Brown
182,alternative,23,Calm Down,All Time Low
183,alternative,24,Hello,Grouplove
184,alternative,25,Under You,Foo Fighters
185,alternative,26,Pepper,Death Cab For Cutie
186,alternative,27,Not Strong Enough,boygenius
187,alternative,28,Snap,Rosa Linn
188,alternative,29,Hold Me Like A Grudge,Fall Out Boy
189,alternative,30,Run Away To Mars,TALK
190,alternative,31,Eat Your Young,Hozier
191,alternative,32,I'm In Love With You,The 1975
192,alternative,33,We Didn't Start The Fire,Fall Out Boy
193,alternative,34,The Drummer,Red Hot Chili Peppers
194,alternative,35,Unlovable,Beach Weather Featuring Pale Waves
195,alternative,36,Say Yes To Heaven,Lana Del Rey
196,alternative,37,Cannonballers,Colony House
197,alternative,38,Daylight,David Kushner
198,alternative,39,ALL CAPS,Weathers Featuring John The Ghost
199,alternative,40,Surefire,Wilderado
200,r-b-hip-hop,1,Lovin On Me,Jack Harlow
201,r-b-hip-hop,2,Paint The Town Red,Doja Cat
202,r-b-hip-hop,3,Snooze,SZA
203,r-b-hip-hop,4,Water,Tyla
204,r-b-hip-hop,5,Agora Hills,Doja Cat
205,r-b-hip-hop,6,FTCU,Nicki Minaj
206,r-b-hip-hop,7,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA
207,r-b-hip-hop,8,Fukumean,Gunna
208,r-b-hip-hop,9,Everybody,Nicki Minaj Featuring Lil Uzi Vert
209,r-b-hip-hop,10,First Person Shooter,Drake Featuring J. Cole
210,r-b-hip-hop,11,Good Good,"Usher, Summer Walker & 21 Savage"
211,r-b-hip-hop,12,I Know ?,Travis Scott
212,r-b-hip-hop,13,On My Mama,Victoria Monet
213,r-b-hip-hop,14,Surround Sound,JID Featuring 21 Savage & Baby Tate
214,r-b-hip-hop,15,Never Lose Me,Flo Milli
215,r-b-hip-hop,16,You Broke My Heart,Drake
216,r-b-hip-hop,17,IDGAF,Drake Featuring Yeat
217,r-b-hip-hop,18,500lbs,Lil Tecca
218,r-b-hip-hop,19,Popular,"The Weeknd, Playboi Carti & Madonna"
219,r-b-hip-hop,20,One Of The Girls,"The Weeknd, Jennie & Lily Rose Depp"
220,r-b-hip-hop,21,Mmhmm,BigXthaPlug
221,r-b-hip-hop,22,Soak City (Do It),310babii
222,r-b-hip-hop,23,Act II: Date @ 8,4Batz
223,r-b-hip-hop,24,Virginia Beach,Drake
224,r-b-hip-hop,25,My Eyes,Travis Scott
225,r-b-hip-hop,26,Great Gatsby,Rod Wave
226,r-b-hip-hop,27,Slime You Out,Drake Featuring SZA
227,r-b-hip-hop,28,Lace It,"Juice WRLD, Eminem & benny blanco"
228,r-b-hip-hop,29,When It Comes To You,Fridayy
229,r-b-hip-hop,30,IDGAF,"Tee Grizzley, Mariah The Scientist & Chris Brown"
230,r-b-hip-hop,31,Worth It,Offset & Don Toliver
231,r-b-hip-hop,32,Needle,Nicki Minaj Featuring Drake
232,r-b-hip-hop,33,Turks & Caicos,Rod Wave Featuring 21 Savage
233,r-b-hip-hop,34,Sensational,Chris Brown Featuring Davido & Lojay
234,r-b-hip-hop,35,Down With Me,Lil Tecca
235,r-b-hip-hop,36,Practice,Drake
236,r-b-hip-hop,37,Turn Yo Clic Up,Quavo & Future
237,r-b-hip-hop,38,How We Roll,Ciara & Chris Brown
238,r-b-hip-hop,39,Bongos,Cardi B & Megan Thee Stallion
239,r-b-hip-hop,40,Beep Beep,Nicki Minaj
240,dance-electronic,1,Houdini,Dua Lipa
241,dance-electronic,2,Strangers,Kenya Grace
242,dance-electronic,3,Murder On The Dancefloor,Sophie Ellis-Bextor
243,dance-electronic,4,I'm Good (Blue),David Guetta & Bebe Rexha
244,dance-electronic,5,My House,Beyonce
245,dance-electronic,6,Ecstacy,SUICIDAL-IDOL
246,dance-electronic,7,Prada,"casso, RAYE & D-Block Europe"
247,dance-electronic,8,Rush,Troye Sivan
248,dance-electronic,9,Dreaming,"Marshmello, P!nk & Sting"
249,dance-electronic,10,Perfect (Exceeder),Mason Vs Princess Superstar
250,dance-electronic,11,Elovrga,Alex Favela x Grupo Marca Registrada x Joaquin Medina
251,dance-electronic,12,Lovely Bastards,yatashigang & ZWE1HVNDXR
252,dance-electronic,13,Fashion,Britney Manson
253,dance-electronic,14,GMFU,Odetari & 6arelyhuman
254,dance-electronic,15,Both,"Tiesto, 21 Savage & BIA"
255,dance-electronic,16,Back On 74,Jungle
256,dance-electronic,17,Memory Reboot,VOJ & Narvent
257,dance-electronic,18,leavemealone,Fred again.. & Baby Keem
258,dance-electronic,19,42,Diplo + Maren Morris
259,dance-electronic,20,Smoke It Off!,Lumi Athena & jnhygs
260,dance-electronic,21,When We Were Young (The Logical Song),David Guetta & Kim Petras
261,dance-electronic,22,Head Down,Lost Frequencies & Bastille
262,dance-electronic,23,Got Me Started,Troye Sivan
263,dance-electronic,24,I Love You Hoe,Odetari & 9lives
264,dance-electronic,25,Hypnotic Data,Odetari
265,dance-electronic,26,All My Life,Tiesto & FAST BOY
266,dance-electronic,27,Sins (Let Me In),Kanii
267,dance-electronic,28,Diamondz N Roses,VaporGod
268,dance-electronic,29,Other Boys,Marshmello & Dove Cameron
269,dance-electronic,30,Body Moving,Eliza Rose Starring Calvin Harris
270,dance-electronic,31,Sleepwalker,"akiaura, LONOWN & STM"
271,dance-electronic,32,Vocation,Ozuna & David Guetta
272,dance-electronic,33,Tell It To My Heart,Cash Cash & Taylor Dayne
273,dance-electronic,34,Let Me See Ya Move!,Lumi Athena & Cade Clair
274,dance-electronic,35,Baixo,Xxanteria
275,dance-electronic,36,All My Fellas (Pose 4 The Camera),Frizk
276,dance-electronic,37,On My Love,Zara Larsson x David Guetta
277,dance-electronic,38,Saving Up,Dom Dolla
278,dance-electronic,39,Icewhore!,Lumi Athena
279,dance-electronic,40,"Better Off (Alone, Part III)","Alan Walker, Dash Berlin & Vikkstar"
280,latin,1,La Diabla,Xavi
281,latin,2,Monaco,Bad Bunny
282,latin,3,Harley Quinn,Fuerza Regida & Marshmello
283,latin,4,Bellakeo,Peso Pluma & Anitta
284,latin,5,La Victima,Xavi
285,latin,6,Qlona,Karol G & Peso Pluma
286,latin,7,Segun Quien,Maluma & Carin Leon
287,latin,8,Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
288,latin,9,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
289,latin,10,El Amor de Su Vida,Grupo Frontera & Grupo Firme
290,latin,11,Perro Negro,Bad Bunny & Feid
291,latin,12,Y Lloro,Junior H
292,latin,13,Mi Ex Tenia Razon,Karol G
293,latin,14,Rompe La Dompe,"Peso Pluma, Junior H & Oscar Maydon"
294,latin,15,Diluvio,Rauw Alejandro
295,latin,16,Tacata (Remix),"Tiagz, Fuerza Regida & El Alfa"
296,latin,17,La People,Peso Pluma & Tito Double P
297,latin,18,Pixelados,Luis R Conriquez & Peso Pluma
298,latin,19,Poco A Poco,Xavi X Dareyes de La Sierra
299,latin,20,Bipolar,Peso Pluma x Jasiel Nunez x Junior H
300,latin,21,Excesos,Fuerza Regida
301,latin,22,Crazyz,Fuerza Regida
302,latin,23,Modo DND,Xavi X Tony Aguirre
303,latin,24,Luna,Feid & ATL Jacob
304,latin,25,First Love,Oscar Ortiz X Edgardo Nunez
305,latin,26,Un Preview,Bad Bunny
306,latin,27,Por El Contrario,Becky G With Leonardo Aguilar & Angela Aguilar
307,latin,28,Lou Lou,Gabito Ballesteros X Natanael Cano
308,latin,29,Lollipop,Darell
309,latin,30,La Falda,Myke Towers
310,latin,31,Fina,Bad Bunny & Young Miko
311,latin,32,Bubalu,Feid x Rema
312,latin,33,Mas Te Recuerdo,Somos 3
313,latin,34,No Me Quiero Casar,Bad Bunny
314,latin,35,Sin Tanto Royo,Luis R Conriquez X Tito Double P
315,latin,36,Labios Mordidos,Kali Uchis & Karol G
316,latin,37,Sin Pagar Renta,Xavi
317,latin,38,Elvira,"Oscar Maydon, Gabito Ballesteros & Chino Pacas"
318,latin,39,CCC,Michelle Maciel x Eden Munoz
319,latin,40,No Es Mentira,Los Primos del Este
