,Artist,id,Song Name,Popularity,Danceability,Energy,Tempo,Duration
53,Katy Perry Featuring Kanye West,60a0Rd6pjrkxjPbaKzXjfq,E.T.,90,0.556,0.864,105.143,216880
54,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything,86,0.671,0.939,129.024,252307
55,Bruno Mars,2tJulUYLDKOg9XrtVkMgcJ,Grenade,81,0.704,0.558,110.444,222091
56,Nicki Minaj,3hlksXnvbKogFdPbpO9vel,Super Bass,84,0.723,0.86,126.979,200013
57,Maroon 5 Featuring Christina Aguilera,7LcfRTgAVTs5pQGEQgUEzN,Moves Like Jagger,75,0.722,0.758,128.047,201160
58,The Black Eyed Peas,0xuXRQJfxmdP6gvfDe2Z4L,Just Can't Get Enough,66,0.765,0.766,128.177,222760
59,Jennifer Lopez Featuring Pitbull,5MMZJtHOiH1RmQSSe3DJdg,On The Floor,74,0.389,0.431,142.14,211851
60,Gotye Featuring Kimbra,4wCmqSrbyCgxEXROQE6vtV,Somebody That I Used To Know,78,0.864,0.495,129.062,244973
61,Carly Rae Jepsen,3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,75,0.783,0.58,120.021,193400
62,fun. Featuring Janelle Monae,7a86XRg84qjasly9f6bPSD,We Are Young,76,0.378,0.638,184.086,250627
63,Maroon 5 Featuring Wiz Khalifa,4P0osvTXoSYZZC2n8IFH3c,Payphone,74,0.739,0.756,110.028,231387
64,Ellie Goulding,5TRPicyLGbAF2LGBFbHGvO,Lights,90,0.639,0.628,90.482,237507
65,The Wanted,5yDL13y5giogKs2fSNf7sj,Glad You Came,81,0.722,0.851,126.885,197936
66,Kelly Clarkson,6D60klaHqbCl9ySc8VcRss,Stronger (What Doesn't Kill You),69,0.562,0.939,116.044,221947
67,Rihanna Featuring Calvin Harris,6qn9YLKt13AGvpq9jfO8py,We Found Love,87,0.734,0.766,127.986,215227
68,Nicki Minaj,1oHNvJVbFkexQc0BpQp7Y4,Starships,78,0.747,0.716,125.008,210627
69,One Direction,4cluDES4hQEUhmXj6TXkSo,What Makes You Beautiful,86,0.726,0.787,124.99,199987
70,Macklemore & Ryan Lewis Featuring Wanz,6CjtS2JZH9RkDz5UVInsa9,Thrift Shop,83,0.781,0.526,94.993,235613
71,Robin Thicke Featuring T.I. + Pharrell,0n4bITAu0Y0nigrz3MFJMb,Blurred Lines,78,0.853,0.599,119.993,263827
72,Imagine Dragons,4G8gkOterJn0Ywt6uhqbhp,Radioactive,76,0.448,0.784,136.245,186813
73,Baauer,01XFgRZfZI7oBagNf1Loml,Harlem Shake,58,0.452,0.794,137.825,196664
74,Macklemore & Ryan Lewis Featuring Ray Dalton,2kFLi6xkCjT3b4FiL0ucKl,Can't Hold Us,37,0.639,0.117,97.732,73469
75,Justin Timberlake,4rHZZAmHpZrA3iH5zx8frV,Mirrors,85,0.574,0.512,76.899,484147
76,P!nk Featuring Nate Ruess,1mKXFLRA179hdOWQBwUk9e,Just Give Me A Reason,85,0.778,0.547,95.002,242733
77,Bruno Mars,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,90,0.612,0.28,72.795,213827
